time,uncontrolled,pid,entro_core,hybrid
0.1,1.8201,1.8201,1.82135346917224,1.82135346917224
0.2,1.8304965,1.8304965,1.8372159138359911,1.8372159138359911
0.30000000000000004,1.8314286225,1.8314286225,1.8456748863585644,1.8456748863585644
0.4,1.8231756382125,1.8231756382125,1.8469113323456228,1.8469113323456228
0.5,1.8060543652625625,1.8060543652625625,1.8406692284552537,1.8406692284552537
0.6,1.7804164586748104,1.7804164586748104,1.8254110415393194,1.8254110415393194
0.7,1.7466456069913168,1.7466456069913168,1.8014835450231665,1.8014835450231665
0.7999999999999999,1.7051546528233714,1.7051546528233714,1.7692664556773825,1.7692664556773825
0.8999999999999999,1.6563826540163475,1.6563826540163475,1.729169546733585,1.729169546733585
0.9999999999999999,1.6007919019034527,1.6007919019034527,1.6816296973244336,1.6816296973244336
1.0999999999999999,1.5388649128444274,1.5388649128444274,1.6271078949109345,1.6271078949109345
1.2,1.4711014088929506,1.4711014088929506,1.5660862070952857,1.5660862070952857
1.3,1.3980153030155533,1.3980153030155533,1.49906473887863,1.49906473887863
1.4000000000000001,1.3201317037994003,1.3201317037994003,1.4265585910140808,1.4265585910140808
1.5000000000000002,1.2379839540407347,1.2379839540407347,1.3490948346303977,1.3490948346303977
1.6000000000000003,1.1521107170046254,1.1521107170046254,1.267209516765073,1.267209516765073
1.7000000000000004,1.0630531234945764,1.0630531234945764,1.1814447108518826,1.1814447108518826
1.8000000000000005,0.9713519921723559,0.9713519921723559,1.0923456255618287,1.0923456255618287
1.9000000000000006,0.8775451348289403,0.8775451348289403,1.0004577847026672,1.0004577847026672
2.0000000000000004,0.7821647575316825,0.7821647575316825,0.9063242901457672,0.9063242901457672
2.1000000000000005,0.685734967765684,0.685734967765684,0.8104831789748453,0.8104831789748453
2.2000000000000006,0.588769396853837,0.588769396853837,0.713464885244177,0.713464885244177
2.3000000000000007,0.49176894608507626,0.49176894608507626,0.6157898158992077,0.6157898158992077
2.400000000000001,0.395219664108953,0.395219664108953,0.5179660495550915,0.5179660495550915
2.500000000000001,0.2995907622715686,0.2995907622715686,0.42048716595352337,0.42048716595352337
2.600000000000001,0.20533277367794794,0.20533277367794794,0.3238848902041873,0.3238302130302346
2.700000000000001,0.11287586087374614,0.11287586087374614,0.22860106726704177,0.22845381762949338
2.800000000000001,0.022628276149301657,0.022628276149301657,0.13505777857124668,0.13479644500262689
2.9000000000000012,-0.065025022414156,-0.065025022414156,0.04365589665511575,0.043274811329553256
3.0000000000000013,-0.14972359690863915,-0.14972359690863915,-0.04522220828680683,-0.045717547389975924
3.1000000000000014,-0.2311325961837446,-0.2311325961837446,-0.1312078590390377,-0.13181154761096936
3.2000000000000015,-0.30894366249967814,-0.30894366249967814,-0.21395790097350648,-0.21466367008727813
3.3000000000000016,-0.3828756785136353,-0.3828756785136353,-0.29315565214507366,-0.2933567730057561
3.4000000000000017,-0.4526753556546056,-0.4526753556546056,-0.36851169252076843,-0.36705871584733163
3.5000000000000018,-0.5181176657030737,-0.5181176657030737,-0.43976449322258854,-0.43503743121650906
3.600000000000002,-0.5790061181215724,-0.5790061181215724,-0.506680887437241,-0.49666558197558963
3.700000000000002,-0.6351728863769083,-0.6349796619313401,-0.5690563853882677,-0.5514237029249159
3.800000000000002,-0.6864787871526995,-0.6854785396469874,-0.6267153364738224,-0.5989018555401471
3.900000000000002,-0.7328131169694535,-0.7300376501159286,-0.6795109423444412,-0.6387998415662226
4.000000000000002,-0.7740933513068576,-0.7682881034068467,-0.7273251253272193,-0.6709260372118397
4.100000000000001,-0.8102647118576054,-0.7999575054369599,-0.770068257193878,-0.6951949241489905
4.200000000000001,-0.8412996080325427,-0.8248690255544375,-0.8076787538185675,-0.7116234063851703
4.300000000000001,-0.8671969592820691,-0.8429393131073997,-0.8401225417754234,-0.7203260132520899
4.4,-0.8879814051976994,-0.8541753404489072,-0.8673924033846966,-0.7215090981799845
4.5,-0.9037024107098723,-0.8586702597681181,-0.8895072071287681,-0.715464150561497
4.6,-0.9144332740031307,-0.8565983695432666,-0.9065110307248736,-0.7025603438383384
4.699999999999999,-0.9202700450275756,-0.8482092932460111,-0.9184721844594715,-0.6832364469754224
4.799999999999999,-0.9213303626961493,-0.833821478173911,-0.9254821426597343,-0.6579922287509572
4.899999999999999,-0.9177522190211851,-0.8138151259537592,-0.9276543914006904,-0.6273794848378036
4.999999999999998,-0.9096926585613638,-0.7886246683681102,-0.9250572496316982,-0.5919928165511863
5.099999999999998,-0.8973264216225304,-0.7587309027538336,-0.9119567607830023,-0.552460287477929
5.1999999999999975,-0.8808445396837493,-0.724652900365082,-0.8887004222592565,-0.5094340800856868
5.299999999999997,-0.8604528915047129,-0.6869397988593046,-0.8557091912433313,-0.46358126895368085
5.399999999999997,-0.8363707283135241,-0.6461625865433261,-0.8134400706650717,-0.4155748205972223
5.4999999999999964,-0.8088291763765033,-0.6029059813085578,-0.762382742814239,-0.3660849221142928
5.599999999999996,-0.7780697251157106,-0.5577605014019171,-0.7030561405482645,-0.31577073220833585
5.699999999999996,-0.7443427087671631,-0.5111805833854661,-0.6360049751109323,-0.26527263868706885
5.799999999999995,-0.7079057893652363,-0.4634421599925813,-0.5617962392245699,-0.21496312477800456
5.899999999999995,-0.669022448598541,-0.41481867850152015,-0.48101570368207996,-0.16508808066232217
5.999999999999995,-0.6279604958118539,-0.36557980806268325,-0.39426442515085874,-0.11588384746679864
6.099999999999994,-0.5849905991297081,-0.31599020469669803,-0.3021552823132243,-0.06757632202980682
6.199999999999994,-0.5403848463523782,-0.2663083384082089,-0.20530955681255725,-0.020380140745775717
6.299999999999994,-0.49441534192660624,-0.21678538641633338,-0.10435357475625186,0.025502055803463326
6.399999999999993,-0.44735284592397445,-0.16766419605213245,8.45762487411833e-05,0.06988027617720788
6.499999999999993,-0.39946546057180177,-0.11917832041859688,0.10737825379986472,0.11257774855885405
6.5999999999999925,-0.3510173694773352,-0.07155112945197441,0.21692227687614643,0.15343140802625657
6.699999999999992,-0.302267634268316,-0.024994998567090733,0.3281185726042747,0.19229230066950576
6.799999999999992,-0.2534690529442258,0.020289423384081885,0.440378849724018,0.22902590503010992
6.8999999999999915,-0.20486708379513713,0.06411386555979892,0.5531271478395094,0.2635123717347454
6.999999999999991,-0.15669883830154546,0.10630300514244545,0.6658022539524321,0.2956466825795681
7.099999999999991,-0.10919214598125382,0.14669495551190034,0.7738599785941992,0.32533873068614827
7.19999999999999,-0.06256469370066464,0.18514167259271208,0.8769146902965381,0.3525133236961003
7.29999999999999,-0.017023241519989823,0.22150927979813592,0.9746164495443264,0.37711011229727326
7.39999999999999,0.0272370833028647,0.2556783123884064,1.0666516569091895,0.39908344667892465
7.499999999999989,0.07003341296451926,0.2875438824390267,1.1527435062407425,0.4184021637957319
7.599999999999989,0.11119568567150159,0.31701576597593323,1.2326522460251834,0.4350493085800563
7.699999999999989,0.15056711176891696,0.3440184141768529,1.3061752528981643,0.44902179247795065
7.799999999999988,0.18800455952456527,0.36849089086086073,1.37314692213802,0.46032999289651844
7.899999999999988,0.2233788610499213,0.39038673879004404,1.4334383807614286,0.46899729733804657
7.999999999999988,0.25657503922426705,0.40967377758740164,1.4869570295919075,0.47505959615963866
8.099999999999987,0.2874924568572611,0.4263338363329015,1.5336459213683138,0.47856472803578476
8.199999999999987,0.316044889676979,0.4403624241343718,1.5734829826024668,0.47957188231546755
8.299999999999986,0.3421605250637205,0.4517683421811262,1.606480087479426,0.4781509625551825
8.399999999999986,0.3657818887635412,0.46057324097557234,1.6326819926187737,0.47438191557493015
8.499999999999986,0.3868657021085495,0.4668111266013072,1.652165141978859,0.4683540304262107
8.599999999999985,0.4053826725426648,0.4705278200252635,1.6650363515873434,0.4601652116798218
8.699999999999985,0.4213172205010433,0.47178037354637475,1.6714313841199202,0.4499212314374254
8.799999999999985,0.43466714591816524,0.4706364485941208,1.6715134069070434,0.4377349644451138
8.899999999999984,0.44544323784318274,0.4671736591474639,1.6632354019760178,0.423725610640346
8.999999999999984,0.45366883082123377,0.46147888508846935,1.6468895601830429,0.40801790939651944
9.099999999999984,0.4593793118558371,0.4536475598258023,1.622799645842942,0.3907413496430251
9.199999999999983,0.46262158190012315,0.4437829365218863,1.5913184307038293,0.3720293799339205
9.299999999999983,0.46345347593358,0.43199533723447825,1.5528250598653708,0.3520186224164194
9.399999999999983,0.46194314576636525,0.4184013892395201,1.5077223648527394,0.33084809451236125
9.499999999999982,0.45816840977533513,0.4031232527382131,1.4564341388662232,0.308658441972863
9.599999999999982,0.4522160738151592,0.3862878440682542,1.3994023889649714,0.2855911867996854
9.699999999999982,0.4441812275647128,0.36802605843805286,1.337084579615932,0.26178799334770475
9.799999999999981,0.43416652056395616,0.34847199608456725,1.2699508816492844,0.23738995573254495
9.89999999999998,0.4222814221704025,0.3277621956212634,1.1984814402133896,0.21253690946717724
9.99999999999998,0.4086414696178034,0.30603487819375236,1.1231636748195049,0.18736677004243465
10.09999999999998,0.39336750829369327,0.2834292058980979,1.044489624013339,0.1620149009502222
10.19999999999998,0.37658492826783796,0.26008455774182254,0.9629533466112915,0.13661351342602499
10.29999999999998,0.35842290100141916,0.23613982624152635,0.879048390798249,0.11129109996042358
10.399999999999979,0.3390136200479858,0.21173273755503141,0.7932653417056066,0.08617190339898809
10.499999999999979,0.3184915494229155,0.18699919784135616,0.7060894573772154,0.06137542321740072
10.599999999999978,0.29699268316948274,0.16207266832988437,0.6179984022917898,0.03701596032517397
10.699999999999978,0.27465381948780554,0.13708357136210733,0.529460086847468,0.013202201518088156
10.799999999999978,0.25161185261913965,0.11215872944655307,0.4409306204322386,-0.009963155532375527
10.899999999999977,0.22800308549343803,0.08742083914123266,0.3529101928455232,-0.03238373609366342
10.999999999999977,0.20396256595404028,0.06298798134936572,0.265810116228063,-0.053969780557644356
