controller,time,psi,dpsi,u,action
Uncontrolled,9.099999999999984,0.25404550844093515,0.04337658093899527,0.0,0.0
Uncontrolled,9.199999999999983,0.2570738457698244,0.030283373288892183,0.0,0.0
Uncontrolled,9.299999999999983,0.25914853436109064,0.020746885912662293,0.0,0.0
Uncontrolled,9.399999999999983,0.25868280695972207,-0.004657274013685632,0.0,0.0
Uncontrolled,9.499999999999982,0.25579801300057686,-0.028847939591452057,0.0,0.0
Uncontrolled,9.599999999999982,0.2504204225286552,-0.05377590471921681,0.0,0.0
Uncontrolled,9.699999999999982,0.24433532144004164,-0.060851010886135634,0.0,0.0
Uncontrolled,9.799999999999981,0.23688128998997404,-0.07454031450067597,0.0,0.0
Uncontrolled,9.89999999999998,0.22827521759484293,-0.08606072395131115,0.0,0.0
Uncontrolled,9.99999999999998,0.21855028349758682,-0.09724934097256112,0.0,0.0
Uncontrolled,10.09999999999998,0.20868903821690815,-0.09861245280678654,0.0,0.0
Uncontrolled,10.19999999999998,0.19974747126106676,-0.08941566955841385,0.0,0.0
Uncontrolled,10.29999999999998,0.19160325928693064,-0.08144211974136124,0.0,0.0
Uncontrolled,10.399999999999979,0.1836827913991013,-0.07920467887829344,0.0,0.0
Uncontrolled,10.499999999999979,0.1754662463831317,-0.08216545015969566,0.0,0.0
Uncontrolled,10.599999999999978,0.16641131757758584,-0.0905492880554587,0.0,0.0
Uncontrolled,10.699999999999978,0.15464078678993315,-0.11770530787652685,0.0,0.0
Uncontrolled,10.799999999999978,0.14307215958673464,-0.11568627203198507,0.0,0.0
Uncontrolled,10.899999999999977,0.13126326619196413,-0.11808893394770498,0.0,0.0
Uncontrolled,10.999999999999977,0.1207802725974906,-0.10482993594473525,0.0,0.0
Uncontrolled,11.099999999999977,0.10983160576887571,-0.10948666828614895,0.0,0.0
Uncontrolled,11.199999999999976,0.10016201501479355,-0.09669590754082158,0.0,0.0
Uncontrolled,11.299999999999976,0.09094563193034183,-0.09216383084451717,0.0,0.0
Uncontrolled,11.399999999999975,0.08121761508865324,-0.09728016841688583,0.0,0.0
Uncontrolled,11.499999999999975,0.07215494401572965,-0.09062671072923591,0.0,0.0
Uncontrolled,11.599999999999975,0.06362414377480748,-0.08530800240922173,0.0,0.0
Uncontrolled,11.699999999999974,0.05480234099375077,-0.08821802781056709,0.0,0.0
Uncontrolled,11.799999999999974,0.044309996659880876,-0.10492344333869887,0.0,0.0
Uncontrolled,11.899999999999974,0.033372205544275516,-0.10937791115605364,0.0,0.0
Uncontrolled,11.999999999999973,0.021431579306195082,-0.1194062623808043,0.0,0.0
Uncontrolled,12.099999999999973,0.010467372506811649,-0.10964206799383433,0.0,0.0
Uncontrolled,12.199999999999973,6.966168886498106e-05,-0.10397710817946668,0.0,0.0
Uncontrolled,12.299999999999972,-0.009816417318740422,-0.09886079007605403,0.0,0.0
Uncontrolled,12.399999999999972,-0.018552435452848612,-0.0873601813410819,0.0,0.0
Uncontrolled,12.499999999999972,-0.026310046091067636,-0.07757610638219023,0.0,0.0
Uncontrolled,12.599999999999971,-0.03332023884847381,-0.07010192757406168,0.0,0.0
Uncontrolled,12.69999999999997,-0.039294749750929794,-0.059745109024559845,0.0,0.0
Uncontrolled,12.79999999999997,-0.04613133283500375,-0.06836583084073958,0.0,0.0
Uncontrolled,12.89999999999997,-0.053142583678989934,-0.07011250843986183,0.0,0.0
Uncontrolled,12.99999999999997,-0.058661118262441025,-0.05518534583451093,0.0,0.0
Uncontrolled,13.09999999999997,-0.06527809375776511,-0.06616975495324091,0.0,0.0
Uncontrolled,13.199999999999969,-0.07169822135793717,-0.06420127600172064,0.0,0.0
Uncontrolled,13.299999999999969,-0.07759437160056852,-0.05896150242631346,0.0,0.0
Uncontrolled,13.399999999999968,-0.08453478295117854,-0.06940411350610026,0.0,0.0
Uncontrolled,13.499999999999968,-0.09168597143780147,-0.07151188486622923,0.0,0.0
Uncontrolled,13.599999999999968,-0.09820112841801994,-0.06515156980218473,0.0,0.0
Uncontrolled,13.699999999999967,-0.1041013639393522,-0.059002355213322644,0.0,0.0
Uncontrolled,13.799999999999967,-0.1092772233483695,-0.05175859409017315,0.0,0.0
Uncontrolled,13.899999999999967,-0.11412349669883785,-0.04846273350468347,0.0,0.0
Uncontrolled,13.999999999999966,-0.11767566836937238,-0.035521716705345284,0.0,0.0
Uncontrolled,14.099999999999966,-0.1195230441123083,-0.018473757429359215,0.0,0.0
Uncontrolled,14.199999999999966,-0.1208437557784019,-0.013207116660935993,0.0,0.0
Uncontrolled,14.299999999999965,-0.12053258728407841,0.003111684943234815,0.0,0.0
Uncontrolled,14.399999999999965,-0.12066246013069777,-0.0012987284661935957,0.0,0.0
Uncontrolled,14.499999999999964,-0.11830657153619144,0.023558885945063276,0.0,0.0
Uncontrolled,14.599999999999964,-0.1147607568345638,0.035458147016276406,0.0,0.0
Uncontrolled,14.699999999999964,-0.11182891866498504,0.029318381695787567,0.0,0.0
