time,uncontrolled,pid,entro_core,hybrid
0.1,1.8296000000000001,1.8296000000000001,1.8308534691722398,1.8308534691722398
0.2,1.8587784,1.8587784,1.8655166407615518,1.8655166407615518
0.30000000000000004,1.8875144536000001,1.8875144536000001,1.9058833118620646,1.9058833118620646
0.4,1.9157882716744001,1.9157882716744001,1.9518044460226682,1.9518044460226682
0.5,1.9435808251156377,1.9435808251156377,2.003129150092764,2.003129150092764
0.6,1.9708739466629348,1.9708739466629348,2.0597048323121094,2.0597048323121094
0.7,1.997650331832623,1.997650331832623,2.1213773580023214,2.1213773580023214
0.7999999999999999,2.023893538967085,2.023893538967085,2.1879912029002577,2.1879912029002577
0.8999999999999999,2.0495879884198906,2.0495879884198906,2.2593896041736765,2.2593896041736765
0.9999999999999999,2.07471896089522,2.07471896089522,2.3354147091591155,2.3354147091591155
1.0999999999999999,2.099272594960148,2.099272594960148,2.4159077218608225,2.4159077218608225
1.2,2.123235883748817,2.123235883748817,2.500709047247775,2.500709047247775
1.3,2.146596670877964,2.146596670877964,2.5896584333833657,2.5896584333833657
1.4000000000000001,2.16934364559365,2.16934364559365,2.682595111419169,2.682595111419169
1.5000000000000002,2.191466337169429,2.191466337169429,2.779357933480433,2.779357933480433
1.6000000000000003,2.2129551085765224,2.2129551085765224,2.87978550846652,2.87978550846652
1.7000000000000004,2.2338011494468977,2.2338011494468977,2.983716335784601,2.983716335784601
1.8000000000000005,2.2539964683504183,2.2539964683504183,3.0,3.0
1.9000000000000006,2.2735338844075184,2.2735338844075184,3.0,3.0
2.0000000000000004,2.292407018259069,2.292407018259069,3.0,3.0
2.1000000000000005,2.3106102824153294,2.3106102824153294,3.0,3.0
2.2000000000000006,2.328138871006049,2.328138871006049,3.0,3.0
2.3000000000000007,2.3449887489539485,2.3449887489539485,3.0,3.0
2.400000000000001,2.361156640593936,2.361156640593936,3.0,3.0
2.500000000000001,2.3766400177605296,2.3766400177605296,3.0,3.0
2.600000000000001,2.391437087366031,2.391437087366031,3.0,3.0
2.700000000000001,2.4055467784920563,2.4055467784920563,3.0,3.0
2.800000000000001,2.418968729017069,2.418968729017069,3.0,3.0
2.9000000000000012,2.431703271802564,2.431703271802564,3.0,3.0
3.0000000000000013,2.443751420460547,2.443751420460547,3.0,3.0
3.1000000000000014,2.45511485472491,2.45511485472491,3.0,3.0
3.2000000000000015,2.4657959054492604,2.4657959054492604,3.0,3.0
3.3000000000000016,2.4757975392536746,2.4757975392536746,3.0,3.0
3.4000000000000017,2.485123342842747,2.485123342842747,3.0,3.0
3.5000000000000018,2.493777507017195,2.493777507017195,3.0,3.0
3.600000000000002,2.501764810401137,2.501764810401137,3.0,3.0
3.700000000000002,2.509090602906999,2.509090602906999,3.0,3.0
3.800000000000002,2.515760788959837,2.515760788959837,3.0,3.0
3.900000000000002,2.521781810502658,2.521781810502658,3.0,3.0
