controller,time,psi,u
Uncontrolled,0.1,1.0148708577023404,0.0
Uncontrolled,0.2,1.0235229463327482,0.0
Uncontrolled,0.30000000000000004,1.0264580003485408,0.0
Uncontrolled,0.4,1.0243579645258474,0.0
Uncontrolled,0.5,1.0166909655081113,0.0
Uncontrolled,0.6,1.0041344616219743,0.0
Uncontrolled,0.7,0.987023578787949,0.0
Uncontrolled,0.7999999999999999,0.9650753549373692,0.0
Uncontrolled,0.8999999999999999,0.9383056823453902,0.0
Uncontrolled,0.9999999999999999,0.9077445153900683,0.0
Uncontrolled,1.0999999999999999,0.8740580857182232,0.0
Uncontrolled,1.2,0.8366884676926686,0.0
Uncontrolled,1.3,0.7960896618775195,0.0
Uncontrolled,1.4000000000000001,0.7535512078077287,0.0
Uncontrolled,1.5000000000000002,0.7082417064380687,0.0
Uncontrolled,1.6000000000000003,0.6604932032457819,0.0
Uncontrolled,1.7000000000000004,0.6120767487991841,0.0
Uncontrolled,1.8000000000000005,0.5612868629455514,0.0
Uncontrolled,1.9000000000000006,0.5096124722729467,0.0
Uncontrolled,2.0000000000000004,0.4559384267005797,0.0
Uncontrolled,2.1000000000000005,0.401296428987838,0.0
Uncontrolled,2.2000000000000006,0.34703904950278036,0.0
Uncontrolled,2.3000000000000007,0.29328491436129883,0.0
Uncontrolled,2.400000000000001,0.23922641862705757,0.0
Uncontrolled,2.500000000000001,0.18536669630664596,0.0
Uncontrolled,2.600000000000001,0.13223604869551878,0.0
Uncontrolled,2.700000000000001,0.07940908862038559,0.0
Uncontrolled,2.800000000000001,0.028046001906934966,0.0
Uncontrolled,2.9000000000000012,-0.020802633568611707,0.0
Uncontrolled,3.0000000000000013,-0.06875941755882456,0.0
Uncontrolled,3.1000000000000014,-0.11592446748131355,0.0
Uncontrolled,3.2000000000000015,-0.16095082169593075,0.0
Uncontrolled,3.3000000000000016,-0.20388119283117206,0.0
Uncontrolled,3.4000000000000017,-0.24360208190224053,0.0
Uncontrolled,3.5000000000000018,-0.28099351498119424,0.0
Uncontrolled,3.600000000000002,-0.3158835673496977,0.0
Uncontrolled,3.700000000000002,-0.3482429372551982,0.0
Uncontrolled,3.800000000000002,-0.3783856144964319,0.0
Uncontrolled,3.900000000000002,-0.40539556835593366,0.0
Uncontrolled,4.000000000000002,-0.43023028699010674,0.0
Uncontrolled,4.100000000000001,-0.45158556756118484,0.0
Uncontrolled,4.200000000000001,-0.4700380737875736,0.0
Uncontrolled,4.300000000000001,-0.48533499943004366,0.0
Uncontrolled,4.4,-0.4980227246546497,0.0
Uncontrolled,4.5,-0.5082998013331611,0.0
Uncontrolled,4.6,-0.5148269350244307,0.0
Uncontrolled,4.699999999999999,-0.5183498451387136,0.0
Uncontrolled,4.799999999999999,-0.5185718171341919,0.0
Uncontrolled,4.899999999999999,-0.5161007094352349,0.0
Uncontrolled,4.999999999999998,-0.5098174276564424,0.0
Uncontrolled,5.099999999999998,-0.5009948071685494,0.0
Uncontrolled,5.1999999999999975,-0.4904467936617185,0.0
Uncontrolled,5.299999999999997,-0.4773787320433069,0.0
Uncontrolled,5.399999999999997,-0.46210316905530224,0.0
